Skill,Relevant_Coursework,Model_Estimated_ability,Course_Level,Course_Num,Course_IDNum
Design and Construction of RF,"Engineering  523 Bio-inspired Design  This course explores the principles and systems behind evolved natural constructions and processes, and transferring these to device and system design: abstractions of functional morphologies lead to new technical concepts and prototypes. Topics in this course may include: design by analogy, functional morphology, principles and techniques of biomimicry, bio-inspired design methods, technical sketching, bio-inspired computation and modelling, and biomimetic concepts such as self healing, growth, and self-organization.  ",0.25963296250104906,5.0,523.0,ENGG 523
Process and Procedure Development,"Engineering  523 Bio-inspired Design  This course explores the principles and systems behind evolved natural constructions and processes, and transferring these to device and system design: abstractions of functional morphologies lead to new technical concepts and prototypes. Topics in this course may include: design by analogy, functional morphology, principles and techniques of biomimicry, bio-inspired design methods, technical sketching, bio-inspired computation and modelling, and biomimetic concepts such as self healing, growth, and self-organization.  ",0.24463683556318283,5.0,523.0,ENGG 523
Research and Development,"Engineering  523 Bio-inspired Design  This course explores the principles and systems behind evolved natural constructions and processes, and transferring these to device and system design: abstractions of functional morphologies lead to new technical concepts and prototypes. Topics in this course may include: design by analogy, functional morphology, principles and techniques of biomimicry, bio-inspired design methods, technical sketching, bio-inspired computation and modelling, and biomimetic concepts such as self healing, growth, and self-organization.  ",0.23714549437761306,5.0,523.0,ENGG 523
Industrial Engineering,"Engineering  523 Bio-inspired Design  This course explores the principles and systems behind evolved natural constructions and processes, and transferring these to device and system design: abstractions of functional morphologies lead to new technical concepts and prototypes. Topics in this course may include: design by analogy, functional morphology, principles and techniques of biomimicry, bio-inspired design methods, technical sketching, bio-inspired computation and modelling, and biomimetic concepts such as self healing, growth, and self-organization.  ",0.13057870951890946,5.0,523.0,ENGG 523
Mechanical Engineering,"Engineering  523 Bio-inspired Design  This course explores the principles and systems behind evolved natural constructions and processes, and transferring these to device and system design: abstractions of functional morphologies lead to new technical concepts and prototypes. Topics in this course may include: design by analogy, functional morphology, principles and techniques of biomimicry, bio-inspired design methods, technical sketching, bio-inspired computation and modelling, and biomimetic concepts such as self healing, growth, and self-organization.  ",0.10703305387496947,5.0,523.0,ENGG 523
Test Planning and Field Operations,"Engineering  521 Art and Engineering  Focuses on history, concepts, contemporary issues, and techniques of engineering in art. Topics may include Arithmetic and Geometry, Proportion, Formalism, Symmetry, Computation, Geometric Abstraction, and Mathematics as they relate to historical, theoretical and critical contexts in Art. Students will gain experience and a working knowledge of concept development and creation of engineering-inspired art projects.  ",0.26298430681228635,5.0,521.0,ENGG 521
Research and Development,"Engineering  521 Art and Engineering  Focuses on history, concepts, contemporary issues, and techniques of engineering in art. Topics may include Arithmetic and Geometry, Proportion, Formalism, Symmetry, Computation, Geometric Abstraction, and Mathematics as they relate to historical, theoretical and critical contexts in Art. Students will gain experience and a working knowledge of concept development and creation of engineering-inspired art projects.  ",0.2320914815068245,5.0,521.0,ENGG 521
Ethics/Values in Science and,"Engineering  521 Art and Engineering  Focuses on history, concepts, contemporary issues, and techniques of engineering in art. Topics may include Arithmetic and Geometry, Proportion, Formalism, Symmetry, Computation, Geometric Abstraction, and Mathematics as they relate to historical, theoretical and critical contexts in Art. Students will gain experience and a working knowledge of concept development and creation of engineering-inspired art projects.  ",0.22847575122117997,5.0,521.0,ENGG 521
Industrial Engineering,"Engineering  521 Art and Engineering  Focuses on history, concepts, contemporary issues, and techniques of engineering in art. Topics may include Arithmetic and Geometry, Proportion, Formalism, Symmetry, Computation, Geometric Abstraction, and Mathematics as they relate to historical, theoretical and critical contexts in Art. Students will gain experience and a working knowledge of concept development and creation of engineering-inspired art projects.  ",0.13057870951890946,5.0,521.0,ENGG 521
Mechanical Engineering,"Engineering  521 Art and Engineering  Focuses on history, concepts, contemporary issues, and techniques of engineering in art. Topics may include Arithmetic and Geometry, Proportion, Formalism, Symmetry, Computation, Geometric Abstraction, and Mathematics as they relate to historical, theoretical and critical contexts in Art. Students will gain experience and a working knowledge of concept development and creation of engineering-inspired art projects.  ",0.10703305387496947,5.0,521.0,ENGG 521
Project Engineering,Engineering  519 Special Topics in Engineering  Current topics in Engineering.  ,0.27443593106269837,5.0,519.0,ENGG 519
Environmental Engineering,Engineering  519 Special Topics in Engineering  Current topics in Engineering.  ,0.27428582390546796,5.0,519.0,ENGG 519
Engineering Management,Engineering  519 Special Topics in Engineering  Current topics in Engineering.  ,0.2716084957718849,5.0,519.0,ENGG 519
Industrial Engineering,Engineering  519 Special Topics in Engineering  Current topics in Engineering.  ,0.13057870951890946,5.0,519.0,ENGG 519
Mechanical Engineering,Engineering  519 Special Topics in Engineering  Current topics in Engineering.  ,0.10703305387496947,5.0,519.0,ENGG 519
Research and Development,"Engineering 517 Engineering Safety  Introduction to Professional Responsibility, Risk Management and Identification, Process Safety Management, Incident Investigation and Reporting; Engineering Ethics and Public Safety; Key national safety codes, standards and regulations, Business case for safety, and common best practices, fundamentals of Crisis and Emergency Management, change management to successful incorporate safety into teams and the design process; Engineering Discipline specific Engineering Safety Management including Electrical Safety, Chemical Safety, Fire, Dust Hazard and Explosions, and Biological Risks.  ",0.24465292613506318,5.0,517.0,ENGG 517
Board of Safety Standards,"Engineering 517 Engineering Safety  Introduction to Professional Responsibility, Risk Management and Identification, Process Safety Management, Incident Investigation and Reporting; Engineering Ethics and Public Safety; Key national safety codes, standards and regulations, Business case for safety, and common best practices, fundamentals of Crisis and Emergency Management, change management to successful incorporate safety into teams and the design process; Engineering Discipline specific Engineering Safety Management including Electrical Safety, Chemical Safety, Fire, Dust Hazard and Explosions, and Biological Risks.  ",0.19989610652923584,5.0,517.0,ENGG 517
Test Planning and Field Operations,"Engineering 517 Engineering Safety  Introduction to Professional Responsibility, Risk Management and Identification, Process Safety Management, Incident Investigation and Reporting; Engineering Ethics and Public Safety; Key national safety codes, standards and regulations, Business case for safety, and common best practices, fundamentals of Crisis and Emergency Management, change management to successful incorporate safety into teams and the design process; Engineering Discipline specific Engineering Safety Management including Electrical Safety, Chemical Safety, Fire, Dust Hazard and Explosions, and Biological Risks.  ",0.18661494849920274,5.0,517.0,ENGG 517
Industrial Engineering,"Engineering 517 Engineering Safety  Introduction to Professional Responsibility, Risk Management and Identification, Process Safety Management, Incident Investigation and Reporting; Engineering Ethics and Public Safety; Key national safety codes, standards and regulations, Business case for safety, and common best practices, fundamentals of Crisis and Emergency Management, change management to successful incorporate safety into teams and the design process; Engineering Discipline specific Engineering Safety Management including Electrical Safety, Chemical Safety, Fire, Dust Hazard and Explosions, and Biological Risks.  ",0.13057870951890946,5.0,517.0,ENGG 517
Mechanical Engineering,"Engineering 517 Engineering Safety  Introduction to Professional Responsibility, Risk Management and Identification, Process Safety Management, Incident Investigation and Reporting; Engineering Ethics and Public Safety; Key national safety codes, standards and regulations, Business case for safety, and common best practices, fundamentals of Crisis and Emergency Management, change management to successful incorporate safety into teams and the design process; Engineering Discipline specific Engineering Safety Management including Electrical Safety, Chemical Safety, Fire, Dust Hazard and Explosions, and Biological Risks.  ",0.10703305387496947,5.0,517.0,ENGG 517
Test Planning and Field Operations,"Engineering  515 Project Management for Engineers  Covers the application of project management principles such as planning, scope development, design, procurement, construction, commissioning and start-up to engineering projects. Class reviews aspects of a current major engineering projects and case studies.  ",0.18116024463176728,5.0,515.0,ENGG 515
Research and Development,"Engineering  515 Project Management for Engineers  Covers the application of project management principles such as planning, scope development, design, procurement, construction, commissioning and start-up to engineering projects. Class reviews aspects of a current major engineering projects and case studies.  ",0.1718411575078964,5.0,515.0,ENGG 515
Process and Projects Documentation,"Engineering  515 Project Management for Engineers  Covers the application of project management principles such as planning, scope development, design, procurement, construction, commissioning and start-up to engineering projects. Class reviews aspects of a current major engineering projects and case studies.  ",0.16983491349220275,5.0,515.0,ENGG 515
Industrial Engineering,"Engineering  515 Project Management for Engineers  Covers the application of project management principles such as planning, scope development, design, procurement, construction, commissioning and start-up to engineering projects. Class reviews aspects of a current major engineering projects and case studies.  ",0.13057870951890946,5.0,515.0,ENGG 515
Mechanical Engineering,"Engineering  515 Project Management for Engineers  Covers the application of project management principles such as planning, scope development, design, procurement, construction, commissioning and start-up to engineering projects. Class reviews aspects of a current major engineering projects and case studies.  ",0.10703305387496947,5.0,515.0,ENGG 515
Ethics/Values in Science and,Engineering 513 The Role and Responsibilities of the Professional Engineer in Society  The professional duties and responsibilities of the engineer as they relate to society. Ethics and the engineering profession. Public and worker safety and health. Design for safety. Sustainable development. The engineer and the environment. Environmental stewardship. Essentials of leadership. Gender issues. Employment equity. Fundamentals of Engineering Law. Professional organizations. The Engineering Professions Act. Indigenous perspectives in engineering. ,0.23894113068580627,5.0,513.0,ENGG 513
Test Planning and Field Operations,Engineering 513 The Role and Responsibilities of the Professional Engineer in Society  The professional duties and responsibilities of the engineer as they relate to society. Ethics and the engineering profession. Public and worker safety and health. Design for safety. Sustainable development. The engineer and the environment. Environmental stewardship. Essentials of leadership. Gender issues. Employment equity. Fundamentals of Engineering Law. Professional organizations. The Engineering Professions Act. Indigenous perspectives in engineering. ,0.23148118399381637,5.0,513.0,ENGG 513
Research and Development,Engineering 513 The Role and Responsibilities of the Professional Engineer in Society  The professional duties and responsibilities of the engineer as they relate to society. Ethics and the engineering profession. Public and worker safety and health. Design for safety. Sustainable development. The engineer and the environment. Environmental stewardship. Essentials of leadership. Gender issues. Employment equity. Fundamentals of Engineering Law. Professional organizations. The Engineering Professions Act. Indigenous perspectives in engineering. ,0.21945959593057632,5.0,513.0,ENGG 513
Industrial Engineering,Engineering 513 The Role and Responsibilities of the Professional Engineer in Society  The professional duties and responsibilities of the engineer as they relate to society. Ethics and the engineering profession. Public and worker safety and health. Design for safety. Sustainable development. The engineer and the environment. Environmental stewardship. Essentials of leadership. Gender issues. Employment equity. Fundamentals of Engineering Law. Professional organizations. The Engineering Professions Act. Indigenous perspectives in engineering. ,0.13057870951890946,5.0,513.0,ENGG 513
Mechanical Engineering,Engineering 513 The Role and Responsibilities of the Professional Engineer in Society  The professional duties and responsibilities of the engineer as they relate to society. Ethics and the engineering profession. Public and worker safety and health. Design for safety. Sustainable development. The engineer and the environment. Environmental stewardship. Essentials of leadership. Gender issues. Employment equity. Fundamentals of Engineering Law. Professional organizations. The Engineering Professions Act. Indigenous perspectives in engineering. ,0.10703305387496947,5.0,513.0,ENGG 513
Process and Projects Documentation,"Engineering  504 Entrepreneurial Capstone Design Project II  A continuation of the entrepreneurial capstone design project, where student teams build on their design work in Part I.  ",0.25316727012395857,5.0,504.0,ENGG 504
Project Engineering,"Engineering  504 Entrepreneurial Capstone Design Project II  A continuation of the entrepreneurial capstone design project, where student teams build on their design work in Part I.  ",0.2432328795313835,5.0,504.0,ENGG 504
Research and Development,"Engineering  504 Entrepreneurial Capstone Design Project II  A continuation of the entrepreneurial capstone design project, where student teams build on their design work in Part I.  ",0.23168664271831513,5.0,504.0,ENGG 504
Industrial Engineering,"Engineering  504 Entrepreneurial Capstone Design Project II  A continuation of the entrepreneurial capstone design project, where student teams build on their design work in Part I.  ",0.13057870951890946,5.0,504.0,ENGG 504
Mechanical Engineering,"Engineering  504 Entrepreneurial Capstone Design Project II  A continuation of the entrepreneurial capstone design project, where student teams build on their design work in Part I.  ",0.10703305387496947,5.0,504.0,ENGG 504
Process and Projects Documentation,"Engineering  503 Entrepreneurial Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative solutions to design projects with an entrepreneurial focus, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program.  ",0.23017977854013444,5.0,503.0,ENGG 503
Test Planning and Field Operations,"Engineering  503 Entrepreneurial Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative solutions to design projects with an entrepreneurial focus, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program.  ",0.1967761088848114,5.0,503.0,ENGG 503
Research and Development,"Engineering  503 Entrepreneurial Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative solutions to design projects with an entrepreneurial focus, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program.  ",0.18690550847053528,5.0,503.0,ENGG 503
Industrial Engineering,"Engineering  503 Entrepreneurial Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative solutions to design projects with an entrepreneurial focus, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program.  ",0.13057870951890946,5.0,503.0,ENGG 503
Mechanical Engineering,"Engineering  503 Entrepreneurial Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative solutions to design projects with an entrepreneurial focus, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program.  ",0.10703305387496947,5.0,503.0,ENGG 503
Design and Construction of RF,"Engineering  502 Senior Capstone Design Project II  A continuation of the capstone design project, where student teams build on their design work in Part I.  ",0.25152102583646774,5.0,502.0,ENGG 502
Project Engineering,"Engineering  502 Senior Capstone Design Project II  A continuation of the capstone design project, where student teams build on their design work in Part I.  ",0.247186940908432,5.0,502.0,ENGG 502
Research and Development,"Engineering  502 Senior Capstone Design Project II  A continuation of the capstone design project, where student teams build on their design work in Part I.  ",0.24507793177366255,5.0,502.0,ENGG 502
Industrial Engineering,"Engineering  502 Senior Capstone Design Project II  A continuation of the capstone design project, where student teams build on their design work in Part I.  ",0.13057870951890946,5.0,502.0,ENGG 502
Mechanical Engineering,"Engineering  502 Senior Capstone Design Project II  A continuation of the capstone design project, where student teams build on their design work in Part I.  ",0.10703305387496947,5.0,502.0,ENGG 502
Process and Projects Documentation,"Engineering  501 Senior Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative, solutions to industry-sponsored design projects, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program. ",0.2307885742664337,5.0,501.0,ENGG 501
Test Planning and Field Operations,"Engineering  501 Senior Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative, solutions to industry-sponsored design projects, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program. ",0.19543072253465651,5.0,501.0,ENGG 501
Research and Development,"Engineering  501 Senior Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative, solutions to industry-sponsored design projects, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program. ",0.18774207518100738,5.0,501.0,ENGG 501
Industrial Engineering,"Engineering  501 Senior Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative, solutions to industry-sponsored design projects, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program. ",0.13057870951890946,5.0,501.0,ENGG 501
Mechanical Engineering,"Engineering  501 Senior Capstone Design Project I  A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative, solutions to industry-sponsored design projects, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program. ",0.10703305387496947,5.0,501.0,ENGG 501
Test Planning and Field Operations,"Engineering 481 Technology and Society  An interpretive course on the interrelationship between technology and society. The first part of the course surveys significant historical developments within disciplinary areas such as energy, materials, production processes, structures, transport, communications, and computation. Sequence within each area: discovery, development, application, impact, future. Social and economic consequences are also considered. Historical contributions of Indigenous Peoples in technology and contemporary considerations of impacts of technology on Indigenous rights. The latter part of the course explores contemporary problems of society and technology.  ",0.2189125643670559,4.0,481.0,ENGG 481
Process and Procedure Development,"Engineering 481 Technology and Society  An interpretive course on the interrelationship between technology and society. The first part of the course surveys significant historical developments within disciplinary areas such as energy, materials, production processes, structures, transport, communications, and computation. Sequence within each area: discovery, development, application, impact, future. Social and economic consequences are also considered. Historical contributions of Indigenous Peoples in technology and contemporary considerations of impacts of technology on Indigenous rights. The latter part of the course explores contemporary problems of society and technology.  ",0.21263194745779038,4.0,481.0,ENGG 481
Research and Development,"Engineering 481 Technology and Society  An interpretive course on the interrelationship between technology and society. The first part of the course surveys significant historical developments within disciplinary areas such as energy, materials, production processes, structures, transport, communications, and computation. Sequence within each area: discovery, development, application, impact, future. Social and economic consequences are also considered. Historical contributions of Indigenous Peoples in technology and contemporary considerations of impacts of technology on Indigenous rights. The latter part of the course explores contemporary problems of society and technology.  ",0.1787015758752823,4.0,481.0,ENGG 481
Industrial Engineering,"Engineering 481 Technology and Society  An interpretive course on the interrelationship between technology and society. The first part of the course surveys significant historical developments within disciplinary areas such as energy, materials, production processes, structures, transport, communications, and computation. Sequence within each area: discovery, development, application, impact, future. Social and economic consequences are also considered. Historical contributions of Indigenous Peoples in technology and contemporary considerations of impacts of technology on Indigenous rights. The latter part of the course explores contemporary problems of society and technology.  ",0.11607117328047753,4.0,481.0,ENGG 481
Mechanical Engineering,"Engineering 481 Technology and Society  An interpretive course on the interrelationship between technology and society. The first part of the course surveys significant historical developments within disciplinary areas such as energy, materials, production processes, structures, transport, communications, and computation. Sequence within each area: discovery, development, application, impact, future. Social and economic consequences are also considered. Historical contributions of Indigenous Peoples in technology and contemporary considerations of impacts of technology on Indigenous rights. The latter part of the course explores contemporary problems of society and technology.  ",0.09514148354530334,4.0,481.0,ENGG 481
Engineering Management,Engineering 393 Advanced Topics II  Special topics in engineering and engineering complementary studies.  ,0.20299644865989686,3.0,393.0,ENGG 393
Engineering Field Supervision,Engineering 393 Advanced Topics II  Special topics in engineering and engineering complementary studies.  ,0.19755089600086212,3.0,393.0,ENGG 393
Research and Development,Engineering 393 Advanced Topics II  Special topics in engineering and engineering complementary studies.  ,0.17479934239387512,3.0,393.0,ENGG 393
Industrial Engineering,Engineering 393 Advanced Topics II  Special topics in engineering and engineering complementary studies.  ,0.1015636370420456,3.0,393.0,ENGG 393
Mechanical Engineering,Engineering 393 Advanced Topics II  Special topics in engineering and engineering complementary studies.  ,0.08324991321563721,3.0,393.0,ENGG 393
Engineering Management,Engineering 391 Advanced Topics I  Special topics in engineering and engineering complementary studies.  ,0.20958344202041626,3.0,391.0,ENGG 391
Engineering Field Supervision,Engineering 391 Advanced Topics I  Special topics in engineering and engineering complementary studies.  ,0.20248449406623842,3.0,391.0,ENGG 391
Research and Development,Engineering 391 Advanced Topics I  Special topics in engineering and engineering complementary studies.  ,0.1726675888299942,3.0,391.0,ENGG 391
Industrial Engineering,Engineering 391 Advanced Topics I  Special topics in engineering and engineering complementary studies.  ,0.1015636370420456,3.0,391.0,ENGG 391
Mechanical Engineering,Engineering 391 Advanced Topics I  Special topics in engineering and engineering complementary studies.  ,0.08324991321563721,3.0,391.0,ENGG 391
Design and Construction of RF,"Engineering 349 Dynamics  Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newtonâs 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics.  ",0.24637592327594757,3.0,349.0,ENGG 349
System Characterization and Test,"Engineering 349 Dynamics  Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newtonâs 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics.  ",0.23626899178028107,3.0,349.0,ENGG 349
Mechanical and Control Systems,"Engineering 349 Dynamics  Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newtonâs 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics.  ",0.22434897119998934,3.0,349.0,ENGG 349
Industrial Engineering,"Engineering 349 Dynamics  Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newtonâs 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics.  ",0.1015636370420456,3.0,349.0,ENGG 349
Mechanical Engineering,"Engineering 349 Dynamics  Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newtonâs 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics.  ",0.08324991321563721,3.0,349.0,ENGG 349
High-Density Surface Mount,"Engineering 317 Mechanics of Solids  Axial-force, shear-force and bending moment diagrams; stress and strain; stress-strain relations; elastic and plastic behaviour; elastic constants; simple statically indeterminate (one-degree) problems; review of moment of inertia, product of inertia and principal axes of inertia; elastic torsion of circular shafts; elastic and plastic bending about principal axes of beams with symmetrical cross-section; composite beams; shear stresses due to bending; Mohr's circle for stress; thin-walled pressure vessels; deflection of beams by integration; Euler buckling.  ",0.27053334958553316,3.0,317.0,ENGG 317
Mechanical and Control Systems,"Engineering 317 Mechanics of Solids  Axial-force, shear-force and bending moment diagrams; stress and strain; stress-strain relations; elastic and plastic behaviour; elastic constants; simple statically indeterminate (one-degree) problems; review of moment of inertia, product of inertia and principal axes of inertia; elastic torsion of circular shafts; elastic and plastic bending about principal axes of beams with symmetrical cross-section; composite beams; shear stresses due to bending; Mohr's circle for stress; thin-walled pressure vessels; deflection of beams by integration; Euler buckling.  ",0.24978834204673767,3.0,317.0,ENGG 317
Design and Construction of RF,"Engineering 317 Mechanics of Solids  Axial-force, shear-force and bending moment diagrams; stress and strain; stress-strain relations; elastic and plastic behaviour; elastic constants; simple statically indeterminate (one-degree) problems; review of moment of inertia, product of inertia and principal axes of inertia; elastic torsion of circular shafts; elastic and plastic bending about principal axes of beams with symmetrical cross-section; composite beams; shear stresses due to bending; Mohr's circle for stress; thin-walled pressure vessels; deflection of beams by integration; Euler buckling.  ",0.24760135478973389,3.0,317.0,ENGG 317
Industrial Engineering,"Engineering 317 Mechanics of Solids  Axial-force, shear-force and bending moment diagrams; stress and strain; stress-strain relations; elastic and plastic behaviour; elastic constants; simple statically indeterminate (one-degree) problems; review of moment of inertia, product of inertia and principal axes of inertia; elastic torsion of circular shafts; elastic and plastic bending about principal axes of beams with symmetrical cross-section; composite beams; shear stresses due to bending; Mohr's circle for stress; thin-walled pressure vessels; deflection of beams by integration; Euler buckling.  ",0.1015636370420456,3.0,317.0,ENGG 317
Mechanical Engineering,"Engineering 317 Mechanics of Solids  Axial-force, shear-force and bending moment diagrams; stress and strain; stress-strain relations; elastic and plastic behaviour; elastic constants; simple statically indeterminate (one-degree) problems; review of moment of inertia, product of inertia and principal axes of inertia; elastic torsion of circular shafts; elastic and plastic bending about principal axes of beams with symmetrical cross-section; composite beams; shear stresses due to bending; Mohr's circle for stress; thin-walled pressure vessels; deflection of beams by integration; Euler buckling.  ",0.08324991321563721,3.0,317.0,ENGG 317
Test Planning and Field Operations,"Engineering 311 Engineering Thermodynamics  Energy, thermodynamic systems, properties and state, temperature and the zeroth law, equilibrium, properties of the pure substance, equations of state. Work, reversibility, heat, first law, specific heats, enthalpy, ideal gas, flow systems. Entropy and the second law, Carnot cycle, thermodynamic temperature scale, process efficiencies, cycles, calculation of entropy change, exergy analysis.  ",0.2694211109876633,3.0,311.0,ENGG 311
System Characterization and Test,"Engineering 311 Engineering Thermodynamics  Energy, thermodynamic systems, properties and state, temperature and the zeroth law, equilibrium, properties of the pure substance, equations of state. Work, reversibility, heat, first law, specific heats, enthalpy, ideal gas, flow systems. Entropy and the second law, Carnot cycle, thermodynamic temperature scale, process efficiencies, cycles, calculation of entropy change, exergy analysis.  ",0.2511833126306534,3.0,311.0,ENGG 311
Mechanical and Control Systems,"Engineering 311 Engineering Thermodynamics  Energy, thermodynamic systems, properties and state, temperature and the zeroth law, equilibrium, properties of the pure substance, equations of state. Work, reversibility, heat, first law, specific heats, enthalpy, ideal gas, flow systems. Entropy and the second law, Carnot cycle, thermodynamic temperature scale, process efficiencies, cycles, calculation of entropy change, exergy analysis.  ",0.24684510374069216,3.0,311.0,ENGG 311
